db_col_name,csv_col_name
Documents_Uploaded_On_Portal,Documents_Uploaded_On_Portal
Additional_Information,Additional_Information
Debtor_1_Title,Debtor_1_Title
Debtor_1_First_Name,Debtor_1_First_Name
Debtor_1_Surname,Debtor_1_Surname
Debtor_1_Date_Of_Birth,Debtor_1_Date_Of_Birth
Debtor_1_Street_Address_1,Debtor_1_Street_Address_1
Debtor_1_Street_Address_2,Debtor_1_Street_Address_2
Debtor_1_Street_Address_Suburb,Debtor_1_Street_Address_Suburb
Debtor_1_Street_Address_State,Debtor_1_Street_Address_State
Debtor_1_Street_Address_Post_Code,Debtor_1_Street_Address_Post_Code
Debtor_1_Postal_Address_1,Debtor_1_Postal_Address_1
Debtor_1_Postal_Address_2,Debtor_1_Postal_Address_2
Debtor_1_Postal_Address_Suburb,Debtor_1_Postal_Address_Suburb
Debtor_1_Postal_Address_State,Debtor_1_Postal_Address_State
Debtor_1_Postal_Address_Post_Code,Debtor_1_Postal_Address_Post_Code
Debtor_1_Mobile,Debtor_1_Mobile
Debtor_1_Work_Phone,Debtor_1_Work_Phone
Debtor_1_Home_Phone,Debtor_1_Home_Phone
Debtor_1_Other_Phone,Debtor_1_Other_Phone
Debtor_1_Email,Debtor_1_Email
Debtor_1_Employer,Debtor_1_Employer
Debtor_1_Employee_Abn,Debtor_1_Employee_Abn
Debtor_1_Employer_Address_1,Debtor_1_Employer_Address_1
Debtor_1_Employer_Address_2,Debtor_1_Employer_Address_2
Debtor_1_Employer_Address_Suburb,Debtor_1_Employer_Address_Suburb
Debtor_1_Employer_Address_State,Debtor_1_Employer_Address_State
Debtor_1_Employer_Address_Post_Code,Debtor_1_Employer_Address_Post_Code
Debtor_2_Title,Debtor_2_Title
Debtor_2_First_Name,Debtor_2_First_Name
Debtor_2_Surname,Debtor_2_Surname
Debtor_2_Date_Of_Birth,Debtor_2_Date_Of_Birth
Debtor_2_Employer,Debtor_2_Employer
Debtor_2_Employer_Abn,Debtor_2_Employer_Abn
Debtor_2_Employer_Address_1,Debtor_2_Employer_Address_1
Debtor_2_Employer_Address_2,Debtor_2_Employer_Address_2
Debtor_2_Employer_Address_Suburb,Debtor_2_Employer_Address_Suburb
Debtor_2_Employer_Address_State,Debtor_2_Employer_Address_State
NAB_Close_Request_Operator,NAB_Close_Request_Operator
Archive_Comment,Archive_Comment
Moratorium_Expiry_Email_Sent_Date,Moratorium_Expiry_Email_Sent_Date
